"date","AI.PA.Adjusted"
2000-01-03,13.7959451675415
2000-01-04,13.1836986541748
2000-01-05,13.0612497329712
2000-01-06,14.0000247955322
2000-01-07,13.8286008834839
2000-01-10,13.3469610214233
2000-01-11,13.224513053894
2000-01-12,13.3779850006104
2000-01-13,13.6898231506348
2000-01-14,13.9918651580811
2000-01-17,13.526556968689
2000-01-18,13.3877773284912
2000-01-19,13.1510400772095
2000-01-20,12.6530838012695
2000-01-21,12.2530841827393
2000-01-24,12.8163528442383
2000-01-25,12.5061454772949
2000-01-26,12.6530838012695
2000-01-27,12.6204319000244
2000-01-28,12.8000249862671
2000-01-31,12.8326797485352
2000-02-01,12.9387969970703
2000-02-02,13.2081842422485
2000-02-03,13.1428804397583
2000-02-04,13.1428804397583
2000-02-07,12.7510452270508
2000-02-08,12.7020645141602
2000-02-09,12.3347187042236
2000-02-10,12.3265542984009
2000-02-11,12.0000267028809
2000-02-14,12.0816564559937
2000-02-15,11.8367586135864
2000-02-16,11.9347162246704
2000-02-17,12.3265542984009
2000-02-18,11.4775714874268
2000-02-21,11.7959394454956
2000-02-22,11.6326770782471
2000-02-23,12.0816564559937
2000-02-24,12.1306324005127
2000-02-25,12.0408401489258
2000-02-28,11.7551279067993
2000-02-29,11.444920539856
2000-03-01,11.6571645736694
2000-03-02,11.5918598175049
2000-03-03,11.4122657775879
2000-03-06,11.7469577789307
2000-03-07,11.7551279067993
2000-03-08,11.4694080352783
2000-03-09,11.2000207901001
2000-03-10,10.8326740264893
2000-03-13,10.612268447876
2000-03-14,11.0285940170288
2000-03-15,11.1183891296387
2000-03-16,11.7551279067993
2000-03-17,11.6163473129272
2000-03-20,11.2816534042358
2000-03-21,11.3796119689941
2000-03-22,11.5918598175049
2000-03-23,11.7469577789307
2000-03-24,12.0163478851318
2000-03-27,11.853084564209
2000-03-28,11.7959394454956
2000-03-29,12.1632871627808
2000-03-30,11.8367586135864
2000-03-31,11.8449201583862
2000-04-03,11.8367586135864
2000-04-04,12.7510452270508
2000-04-05,12.3755331039429
2000-04-06,12.0816564559937
2000-04-07,12.4245128631592
2000-04-10,11.8204288482666
2000-04-11,11.9510412216187
2000-04-12,12.0245151519775
2000-04-13,12.1469650268555
2000-04-14,12.2285957336426
2000-04-17,12.2285957336426
2000-04-18,11.7796154022217
2000-04-19,11.7796154022217
2000-04-20,11.9918603897095
2000-04-21,11.9918603897095
2000-04-24,11.9918603897095
2000-04-25,12.1632871627808
2000-04-26,11.9102239608765
2000-04-27,11.6408386230469
2000-04-28,11.7061443328857
2000-05-01,11.6898164749146
2000-05-02,11.8122673034668
2000-05-03,11.8612451553345
2000-05-04,11.7551279067993
2000-05-05,11.9510412216187
2000-05-08,12.2041025161743
2000-05-09,12.2449226379395
2000-05-10,12.3347187042236
2000-05-11,12.1270599365234
2000-05-12,11.9775485992432
2000-05-15,12.1270599365234
2000-05-16,12.3347187042236
2000-05-17,12.1021394729614
2000-05-18,12.1685914993286
2000-05-19,12.2101268768311
2000-05-22,12.7084980010986
2000-05-23,12.7500247955322
2000-05-24,12.4343891143799
2000-05-25,12.0523052215576
2000-05-26,12.019079208374
2000-05-29,12.0523052215576
2000-05-30,12.1436748504639
2000-05-31,12.5008430480957
2000-06-01,12.3762483596802
2000-06-02,12.5008430480957
2000-06-05,12.3762483596802
2000-06-06,12.1852073669434
2000-06-07,12.019079208374
2000-06-08,11.8944864273071
2000-06-09,11.927713394165
2000-06-12,11.927713394165
2000-06-13,11.8114242553711
2000-06-14,11.7510471343994
2000-06-15,12.0008926391602
2000-06-16,12.2848834991455
2000-06-19,12.3673324584961
2000-06-20,12.3581705093384
2000-06-21,11.9734125137329
2000-06-22,11.8634767532349
2000-06-23,11.8176717758179
2000-06-26,12.074179649353
2000-06-27,12.0925025939941
2000-06-28,12.0466957092285
2000-06-29,12.2390756607056
2000-06-30,12.5139083862305
2000-07-03,12.5780363082886
2000-07-04,12.7887334823608
2000-07-05,12.3490085601807
2000-07-06,12.3306894302368
2000-07-07,12.4589414596558
2000-07-10,12.0925025939941
2000-07-11,12.220757484436
2000-07-12,12.2848834991455
2000-07-13,12.1841135025024
2000-07-14,12.1841135025024
2000-07-17,12.3673324584961
2000-07-18,12.2299146652222
2000-07-19,12.1657905578613
2000-07-20,12.220757484436
2000-07-21,12.2757205963135
2000-07-24,12.3398494720459
2000-07-25,12.2757205963135
2000-07-26,12.2574005126953
2000-07-27,12.4589414596558
2000-07-28,12.3123693466187
2000-07-31,12.5963582992554
2000-08-01,12.587194442749
2000-08-02,12.5597133636475
2000-08-03,12.5047454833984
2000-08-04,12.6055212020874
2000-08-07,12.7337694168091
2000-08-08,12.7978982925415
2000-08-09,12.5963582992554
2000-08-10,12.5780363082886
2000-08-11,12.8437061309814
2000-08-14,13.146014213562
2000-08-15,13.0544052124023
2000-08-16,13.146014213562
2000-08-17,13.4116830825806
2000-08-18,13.155177116394
2000-08-21,12.9994411468506
2000-08-22,12.7795791625977
2000-08-23,12.7887334823608
2000-08-24,12.8345422744751
2000-08-25,13.155177116394
2000-08-28,13.0544052124023
2000-08-29,13.0452442169189
2000-08-30,12.9536352157593
2000-08-31,13.146014213562
2000-09-01,13.2467889785767
2000-09-04,13.2834310531616
2000-09-05,13.52161693573
2000-09-06,13.5124521255493
2000-09-07,13.5582590103149
2000-09-08,12.6879663467407
2000-09-11,12.8253793716431
2000-09-12,12.6513195037842
2000-09-13,12.7337694168091
2000-09-14,12.7246122360229
2000-09-15,12.4589414596558
2000-09-18,12.3306894302368
2000-09-19,12.4772682189941
2000-09-20,12.0008926391602
2000-09-21,11.927604675293
2000-09-22,12.0925025939941
